year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,848.0,1835,853.0,1001.0,1950,851.0,MQ,3944,N942MQ,JFK,BWI,41.0,184,18,35,2013-01-01 18:00:00
2013,1,9,641.0,900,1301.0,1242.0,1530,1272.0,HA,51,N384HA,JFK,HNL,640.0,4983,9,0,2013-01-09 09:00:00
2013,1,10,1121.0,1635,1126.0,1239.0,1810,1109.0,MQ,3695,N517MQ,EWR,ORD,111.0,719,16,35,2013-01-10 16:00:00
2013,10,14,2042.0,900,702.0,2255.0,1127,688.0,DL,502,N943DL,EWR,ATL,98.0,746,9,0,2013-10-14 09:00:00
2013,11,3,603.0,1645,798.0,829.0,1913,796.0,DL,2042,N990AT,EWR,ATL,109.0,746,16,45,2013-11-03 16:00:00
2013,11,24,2301.0,1225,636.0,149.0,1535,614.0,AA,1697,N634AA,JFK,MIA,143.0,1089,12,25,2013-11-24 12:00:00
2013,12,1,657.0,1930,687.0,1010.0,2249,681.0,DL,1091,N342NW,JFK,SAT,211.0,1587,19,30,2013-12-01 19:00:00
2013,12,5,756.0,1700,896.0,1058.0,2020,878.0,AA,172,N5DMAA,EWR,MIA,149.0,1085,17,0,2013-12-05 17:00:00
2013,12,14,830.0,1845,825.0,1210.0,2154,856.0,DL,2391,N939DL,JFK,TPA,173.0,1005,18,45,2013-12-14 18:00:00
2013,12,15,625.0,1925,660.0,933.0,2245,648.0,AA,2437,N635AA,LGA,MIA,165.0,1096,19,25,2013-12-15 19:00:00
2013,12,17,705.0,1700,845.0,1026.0,2020,846.0,AA,172,N5EMAA,EWR,MIA,145.0,1085,17,0,2013-12-17 17:00:00
2013,12,19,734.0,1725,849.0,1046.0,2039,847.0,DL,1223,N375NC,EWR,SLC,290.0,1969,17,25,2013-12-19 17:00:00
2013,2,10,2243.0,830,853.0,100.0,1106,834.0,F9,835,N203FR,LGA,DEN,233.0,1620,8,30,2013-02-10 08:00:00
2013,2,16,757.0,1930,747.0,1013.0,2149,744.0,9E,3798,N8940E,JFK,CLT,85.0,541,19,30,2013-02-16 19:00:00
2013,2,19,2324.0,1016,788.0,114.0,1227,767.0,DL,2319,N324US,LGA,MSP,136.0,1020,10,16,2013-02-19 10:00:00
2013,2,24,1921.0,615,786.0,2135.0,842,773.0,DL,575,N348NW,EWR,ATL,111.0,746,6,15,2013-02-24 06:00:00
2013,3,17,2321.0,810,911.0,135.0,1020,915.0,DL,2119,N927DA,LGA,MSP,167.0,1020,8,10,2013-03-17 08:00:00
2013,3,18,1020.0,2100,800.0,1336.0,32,784.0,DL,2363,N624AG,JFK,LAX,335.0,2475,21,0,2013-03-18 21:00:00
2013,4,10,604.0,1925,639.0,841.0,2225,616.0,DL,1485,N913DL,LGA,MCO,128.0,950,19,25,2013-04-10 19:00:00
2013,4,10,1100.0,1900,960.0,1342.0,2211,931.0,DL,2391,N959DL,JFK,TPA,139.0,1005,19,0,2013-04-10 19:00:00
2013,4,19,606.0,1725,761.0,923.0,2020,783.0,AA,1901,N3DGAA,JFK,IAH,222.0,1417,17,25,2013-04-19 17:00:00
2013,4,19,617.0,1700,797.0,858.0,1955,783.0,AA,257,N3GJAA,JFK,LAS,313.0,2248,17,0,2013-04-19 17:00:00
2013,4,19,758.0,1925,753.0,1049.0,2225,744.0,DL,1485,N927DA,LGA,MCO,149.0,950,19,25,2013-04-19 19:00:00
2013,4,19,912.0,1940,812.0,1228.0,2247,821.0,DL,1435,N900DE,LGA,TPA,174.0,1010,19,40,2013-04-19 19:00:00
2013,5,3,1133.0,2055,878.0,1250.0,2215,875.0,MQ,3744,N523MQ,EWR,ORD,112.0,719,20,55,2013-05-03 20:00:00
2013,5,19,713.0,1700,853.0,1007.0,1955,852.0,AA,257,N3HEAA,JFK,LAS,323.0,2248,17,0,2013-05-19 17:00:00
2013,6,5,2028.0,1015,613.0,2308.0,1310,598.0,AA,731,N3FNAA,LGA,DFW,200.0,1389,10,15,2013-06-05 10:00:00
2013,6,15,1432.0,1935,1137.0,1607.0,2120,1127.0,MQ,3535,N504MQ,JFK,CMH,74.0,483,19,35,2013-06-15 19:00:00
2013,6,27,615.0,1705,790.0,853.0,2004,769.0,DL,503,N372DA,JFK,SAN,312.0,2446,17,5,2013-06-27 17:00:00
2013,6,27,732.0,1825,787.0,932.0,2032,780.0,DL,1715,N335NB,LGA,MSY,160.0,1183,18,25,2013-06-27 18:00:00
2013,6,27,753.0,1830,803.0,937.0,2015,802.0,AA,2019,N571AA,LGA,STL,134.0,888,18,30,2013-06-27 18:00:00
2013,6,27,959.0,1900,899.0,1236.0,2226,850.0,DL,2007,N3762Y,JFK,PDX,313.0,2454,19,0,2013-06-27 19:00:00
2013,7,7,2059.0,1030,629.0,106.0,1350,676.0,VX,23,N641VA,JFK,SFO,334.0,2586,10,30,2013-07-07 10:00:00
2013,7,7,2123.0,1030,653.0,17.0,1345,632.0,VX,187,N521VA,EWR,SFO,325.0,2565,10,30,2013-07-07 10:00:00
2013,7,22,845.0,1600,1005.0,1044.0,1815,989.0,MQ,3075,N665MQ,JFK,CVG,96.0,589,16,0,2013-07-22 16:00:00
2013,7,22,2257.0,759,898.0,121.0,1026,895.0,DL,2047,N6716C,LGA,ATL,109.0,762,7,59,2013-07-22 07:00:00
2013,9,2,606.0,1830,696.0,754.0,2040,674.0,DL,2131,N913DE,LGA,DTW,79.0,502,18,30,2013-09-02 18:00:00
